PublicationYear,DocumentType,Author,DocumentName,tag,content
2001,Service_Plan,Mid-Western Health Board,Service_Plan_2001,impact.health_service_system,Two person crewing (ambulance) is operational only in Limerick City and in Ennis (at night).
2001,Service_Plan,Mid-Western Health Board,Service_Plan_2001,impact.staffing,Appointment of a Director of Primary Health Care Services and review of the Primary Care Unit.
2001,Service_Plan,Mid-Western Health Board,Service_Plan_2001,impact.governance,Appointment of a Director of Primary Health Care Services and review of the Primary Care Unit.
2001,Service_Plan,Mid-Western Health Board,Service_Plan_2001,planned_action:community_healthcare,A 6-place residential respite facility for adults with significant physical disability will be opened during 2001. The Board, in collaboration with the Cheshire Foundation will develop a rehabilitative residential facility for persons with acquired brain injury
2001,Service_Plan,Mid-Western Health Board,Service_Plan_2001,impact.staffing,Increased consultant numbers in A&E and Anaesthetics under the Winter Initiative.
2001,Service_Plan,Mid-Western Health Board,Service_Plan_2001,planned_action:staffing,Current deficits such as staffing levels at Ennis and Nenagh General Hospitals and the Regional Maternity Hospital will be addressed.
2001,Service_Plan,Mid-Western Health Board,Service_Plan_2001,planned_action:community_healthcare,However, additional funding provided in 2001 will progress implementation of two person crewing (ambulance). There are recruitment, station accommodation and relocation issues. Activity exceeded targets for patient transport and emergencies during 2000.
2001,Service_Plan,Mid-Western Health Board,Service_Plan_2001,planned_action:staffing,However, additional funding provided in 2001 will progress implementation of two person crewing (ambulance). There are recruitment, station accommodation and relocation issues. Activity exceeded targets for patient transport and emergencies during 2000.
2001,Service_Plan,Mid-Western Health Board,Service_Plan_2001,impact.funding,However, additional funding provided in 2001 will progress implementation of two person crewing (ambulance). There are recruitment, station accommodation and relocation issues. Activity exceeded targets for patient transport and emergencies during 2000.
2001,Service_Plan,Mid-Western Health Board,Service_Plan_2001,planned_action:hospital_capacity,However, additional funding provided in 2001 will progress implementation of two person crewing (ambulance). There are recruitment, station accommodation and relocation issues. Activity exceeded targets for patient transport and emergencies during 2000.
2001,Service_Plan,Mid-Western Health Board,Service_Plan_2001,planned_action:staffing,The appointment of a sixth Orthopaedic Consultant and a Registrar in Ophthalmology will lead to further reductions over the coming month.
2001,Service_Plan,Mid-Western Health Board,Service_Plan_2001,planned_action:staffing,The appointment of an A & E Nurse Practitioner.
2001,Service_Plan,Mid-Western Health Board,Service_Plan_2001,planned_action:staffing,A total of 16 additional staff will be appointed to Ennis General Hospital to address core service deficits in medical, surgical, paramedical services and clerical support.
2001,Service_Plan,Mid-Western Health Board,Service_Plan_2001,planned_action:health_service_system,A total of 16 additional staff will be appointed to Ennis General Hospital to address core service deficits in medical, surgical, paramedical services and clerical support. The Medical Day Unit will open during 2001. The appointment of a Consultant Physician for this service is in process
2001,Service_Plan,Mid-Western Health Board,Service_Plan_2001,planned_action:staffing,A total of 16 additional staff will be appointed to Ennis General Hospital to address core service deficits in medical, surgical, paramedical services and clerical support. The Medical Day Unit will open during 2001. The appointment of a Consultant Physician for this service is in process
2001,Service_Plan,Mid-Western Health Board,Service_Plan_2001,planned_action:staffing,A & E, Theatre & ICU Three additional A & E Consultants and two additional Consultant Anaesthetists will be appointed subject to funding from the Department of Health & Children and approval from Comhairle na n-Ospideal.
2001,Service_Plan,Mid-Western Health Board,Service_Plan_2001,planned_action:hospital_capacity,The High Observation Unit will open subject to funding under the national review of bed capacity.
2001,Service_Plan,Mid-Western Health Board,Service_Plan_2001,planned_action:health_service_system,A review of anaesthetic services will commence early in the New Year. The opening of an additional theatre will be considered in the context of the review.
2001,Service_Plan,Mid-Western Health Board,Service_Plan_2001,planned_action:governance,A review of anaesthetic services will commence early in the New Year. The opening of an additional theatre will be considered in the context of the review.
2001,Service_Plan,Mid-Western Health Board,Service_Plan_2001,planned_action:hospital_capacity,A review of anaesthetic services will commence early in the New Year. The opening of an additional theatre will be considered in the context of the review.
2001,Service_Plan,Mid-Western Health Board,Service_Plan_2001,impact.funding,The allocation for 2001 is £309.119m - an increase of 15.9%. The overall net value of additional funding is £26.143m. Acute Hospitals £3.550m.
2001,Service_Plan,Mid-Western Health Board,Service_Plan_2001,impact.funding,A further item of note is funding of £1.5m in respect of funding pressures being experienced in core services. This, though most welcome, will, however, not fully address the core funding issues being experienced, particularly in Acute Hospitals.
2001,Service_Plan,Mid-Western Health Board,Service_Plan_2001,impact.health_service_system,Evaluations An evaluation of A & E, Pathology and Out-patient services commenced
2001,Service_Plan,Mid-Western Health Board,Service_Plan_2001,impact.governance,Evaluations An evaluation of A & E, Pathology and Out-patient services commenced
2001,Service_Plan,Mid-Western Health Board,Service_Plan_2001,planned_action:governance,Validation of inpatient waiting lists continued throughout the year and the validation of out-patient waiting lists commenced.
2001,Service_Plan,Mid-Western Health Board,Service_Plan_2001,impact.governance,Validation of inpatient waiting lists continued throughout the year and the validation of out-patient waiting lists commenced.
2001,Strategy,Department of Health and Children,Quality_and_Fairness_A_Health_System_for_You_2001,planned_action:health_service_system,Objective 1: Standardised quality systems support best patient care and safety Action # Description Deliverable Target Date Responsibility 71 Each health board will develop implementation plans Format for implementation plans agreed; Framework for linkages between service plans, national policy and implementation plans established Early 2002; End 2002 DoHC/health boards 72 Service agreements between the health boards and the voluntary sector will be extended to all service providers and associated performance indicators will be introduced Service agreements for all voluntary providers 2002-2003 Health boards/voluntary providers 73 Health research will continue to be developed to support information and quality initiatives Implementation of the Health Research Strategy 2002 onwards DoHC/Health Research Board/service providers An independent audit of functions and structures in the health system will be carried out The Department of Health and Children will commission an audit of organisational structures and functions in the health system, to ensure clear lines of accountability and communication between each part of the system, no overlap or duplication between organisations, and a proper alignment of the structure as a whole to the vision and objectives outlined in the Health Strategy. The audit will consider the number and configuration of existing health boards and other agencies and the scope for rationalisation.
2001,Strategy,Department of Health and Children,Quality_and_Fairness_A_Health_System_for_You_2001,planned_action:hospital_capacity,Acute hospital care will be developed and reformed through the creation of 3,000 extra hospital beds for public patients and a range of other measures.
2001,Strategy,Department of Health and Children,Quality_and_Fairness_A_Health_System_for_You_2001,planned_action:hospital_capacity,No public patient will wait longer than 3 months from the date of referral for the scheduling of treatment.
2001,Strategy,Department of Health and Children,Quality_and_Fairness_A_Health_System_for_You_2001,planned_action:hospital_capacity,Additional acute hospital beds will be provided for public patients • Over the next ten years a total of 3,000 acute beds will be added to the system. This represents the largest ever concentrated expansion of acute hospital capacity in Ireland. The study of acute hospital bed requirements concluded that a figure of between 2,800 and 4,300 beds would be required over the period to 2011. The Government has decided to provide for a total of 3,000 beds, taking account of investment in non-acute facilities and community support services, increased use of day beds and a number of other factors • 650 of the extra beds will be provided by the end of 2002, of which 450 will be in the public sector, thus providing extra capacity for the treatment of public patients on waiting lists. The private hospital sector will be contracted to provide 200 beds, all for treatment of public patients on waiting lists.
2001,Strategy,Department of Health and Children,Quality_and_Fairness_A_Health_System_for_You_2001,planned_action:funding,A strategic partnership with private hospital providers will be developed The Government is committed to exploring fully the scope for the private sector to provide additional capacity. Accordingly, the extra beds in the period to 2011 will be provided by a combination of public and private providers. To achieve this, a strategic partnership will be developed with the private hospital sector to provide more treatment for public patients. This will be progressed by setting up a Forum under the aegis of the new National Hospitals Agency (described below) involving the public and private sectors and insurers. The key objective is to provide the required extra capacity, whether this is in the public or private hospital sector.
2001,Strategy,Department of Health and Children,Quality_and_Fairness_A_Health_System_for_You_2001,planned_action:governance,A National Hospitals Agency will be established This Strategy commits the Government to a significant increase in the number of hospital beds over the next ten years. An objective, evidence-based means is required to determine the specialties in which these extra beds will be provided and their location around the country. Key decisions will need to be taken about the future configuration of existing hospitals. Co-operation between hospitals needs to be reinforced so that a fully integrated hospital system is achieved. In addition, specialist advice is regularly required on the priority that should be attached to the development of individual specialties and services in acute hospitals throughout the country. An independent agency is required which can provide expert, objective advice on these matters as they arise. A National Hospitals Agency will be established on a statutory basis under the aegis of the Department of Health and Children. Its staff will have or draw upon appropriate expertise and specialist knowledge to carry out its tasks.
2001,Strategy,Department of Health and Children,Quality_and_Fairness_A_Health_System_for_You_2001,planned_action:funding,A comprehensive set of actions will taken to reduce waiting times for public patients, including the establishment of a new ear-marked Treatment Purchase Fund A new focus will be placed on waiting times. The target is that by the end of 2004, all public patients will be scheduled to commence treatment within a maximum of three months of referral from an out-patient department.
2001,Strategy,Department of Health and Children,Quality_and_Fairness_A_Health_System_for_You_2001,planned_action:hospital_capacity,The target improvements in waiting times will be achieved by: • a major expansion in acute bed capacity, as described above, together with reform of primary care, strengthening of Accident and Emergency services and provision of additional non-acute places
2001,Strategy,Department of Health and Children,Quality_and_Fairness_A_Health_System_for_You_2001,planned_action:funding,an ear-marked Treatment Purchase Fund which will be used to purchase treatment from private hospitals in Ireland, and from international providers. It may also make use of any capacity within public hospitals to arrange treatments for patients.
2001,Strategy,Department of Health and Children,Quality_and_Fairness_A_Health_System_for_You_2001,planned_action:governance,A National Treatment Purchase Team appointed by the Minister for Health and Children will manage the new Treatment Purchase Fund, working closely with the health boards. The team will commence its work immediately, in parallel with other reforms below. It will work in partnership with the health boards, hospitals and consultants to ensure that waiting times for public patients are reduced as quickly as possible. The National Treatment Purchase Team will enter into immediate discussions with relevant hospitals and consultants to make streamlined arrangements to ensure that patients are offered the treatment they need. It is essential for the successful operation of the scheme that management procedures are highly efficient and that there is no avoidable delay in sourcing and referral of patients to the treatment needed.
2001,Strategy,Department of Health and Children,Quality_and_Fairness_A_Health_System_for_You_2001,planned_action:governance,Management and organisation of waiting lists will be reformed The National Hospitals Agency, working with the health boards and ERHA, will, in consultation with relevant professional bodies, lead the development of guidelines for referral and prioritisation of patients within and between specialties, particularly those where there are lengthy waiting times. The guidelines will assist general practitioners in making referrals in keeping with best clinical practice and consultants in managing waiting lists/times.
2001,Strategy,Department of Health and Children,Quality_and_Fairness_A_Health_System_for_You_2001,planned_action:governance,One-day procedures will be used to the maximum consistent with international best practice The National Hospitals Agency will work with the health boards and the ERHA to achieve increases in one-day procedures in line with international best practice.
2001,Strategy,Department of Health and Children,Quality_and_Fairness_A_Health_System_for_You_2001,planned_action:hospital_capacity,One-day procedures will be used to the maximum consistent with international best practice The National Hospitals Agency will work with the health boards and the ERHA to achieve increases in one-day procedures in line with international best practice.
2001,Strategy,Department of Health and Children,Quality_and_Fairness_A_Health_System_for_You_2001,planned_action:hospital_capacity,A substantial programme of improvements in accident and emergency departments will be introduced Significant initiatives will be taken to improve the operation of accident and emergency departments by directing patients to the most appropriate form of care and ensuring that those who need treatment are seen as quickly as possible. • Additional A&E consultants will be appointed to organise and run A&E departments. The increased availability of senior medical staff will facilitate rapid clinical decision making, enhanced management, diagnosis and treatment of patients. • Triage procedures will be put in place to help channel patients quickly to the most appropriate form of care.
2001,Strategy,Department of Health and Children,Quality_and_Fairness_A_Health_System_for_You_2001,planned_action:community_healthcare,The establishment of 24-hour GP co-operatives as part of the strengthening of primary care will help to reduce demand from, and treat appropriately, patients who would otherwise have to attend at an A&E department.
2001,Strategy,Department of Health and Children,Quality_and_Fairness_A_Health_System_for_You_2001,planned_action:hospital_capacity,Minor injury units will be established to ensure appropriate treatment and management of non-urgent cases.
2001,Strategy,Department of Health and Children,Quality_and_Fairness_A_Health_System_for_You_2001,planned_action:hospital_capacity,Chest pain clinics, respiratory clinics and in-house specialist teams will be used to fast-track patients as appropriate. • Diagnostic services will be organised to ensure increased access to and availability of services at busy times in A&E departments.
2001,Strategy,Department of Health and Children,Quality_and_Fairness_A_Health_System_for_You_2001,planned_action:staffing,Advanced Nurse Practitioners (ANPs) (Emergency) will be appointed in acute hospitals. ANPs diagnose and treat certain groups of patients independently within agreed protocols.
2001,Strategy,Department of Health and Children,Quality_and_Fairness_A_Health_System_for_You_2001,planned_action:governance,Admission protocols will ensure that emergency patients will be the only group of patients admitted to hospital through the A&E department. • Hospitals will ensure that a member of staff will be available to liaise with patients while they await diagnosis and treatment at A&E departments.
2001,Strategy,Department of Health and Children,Quality_and_Fairness_A_Health_System_for_You_2001,planned_action:hospital_capacity,Information systems will be introduced that record comprehensive, comparable and reliable data on activity in A&E departments. Such information will provide staff with a valuable tool in structuring services to meet the needs of patients.
2001,Strategy,Department of Health and Children,Quality_and_Fairness_A_Health_System_for_You_2001,planned_action.ICT,Information systems will be introduced that record comprehensive, comparable and reliable data on activity in A&E departments. Such information will provide staff with a valuable tool in structuring services to meet the needs of patients.
2001,Strategy,Department of Health and Children,Quality_and_Fairness_A_Health_System_for_You_2001,planned_action:hospital_capacity,The extra acute beds in public hospitals will be designated for use by public patients All of the extra acute hospital capacity within the public sector, both inpatient beds and day beds, will be designated for use by public patients. The only exceptions will be Intensive Care Units, Coronary Care Units and other specialised beds which will continue to be non-designated. The provision of additional beds announced in this Strategy will be a significant step forward in ensuring that the needs of public patients are adequately met.
2001,Strategy,Department of Health and Children,Quality_and_Fairness_A_Health_System_for_You_2001,planned_action.public_private,The extra acute beds in public hospitals will be designated for use by public patients All of the extra acute hospital capacity within the public sector, both inpatient beds and day beds, will be designated for use by public patients. The only exceptions will be Intensive Care Units, Coronary Care Units and other specialised beds which will continue to be non-designated. The provision of additional beds announced in this Strategy will be a significant step forward in ensuring that the needs of public patients are adequately met.
2001,Strategy,Department of Health and Children,Quality_and_Fairness_A_Health_System_for_You_2001,planned_action:hospital_capacity,Action Description Deliverable Target Date Responsibility 78 Additional acute hospital beds will be provided for public patients 650 extra beds; Rising to 3,000 extra beds End 2002; 2011 Health boards
2001,Strategy,Department of Health and Children,Quality_and_Fairness_A_Health_System_for_You_2001,planned_action:funding,A strategic partnership with private hospital providers will be developed Forum established under National Hospitals Agency 2002 National Hospitals Agency/health boards
2001,Strategy,Department of Health and Children,Quality_and_Fairness_A_Health_System_for_You_2001,planned_action:governance,A National Hospitals Agency will be established Agency established End 2002 DoHC
2001,Strategy,Department of Health and Children,Quality_and_Fairness_A_Health_System_for_You_2001,planned_action:governance,A comprehensive set of actions will be taken to reduce waiting times for public patients Targets to ensure that no public patient will wait longer than three months for treatment following referral from an out-patient department End 2004; Intermediate targets in end 2002 and end 2003 DoHC/National Treatment Purchase Team/Health boards
2001,Strategy,Department of Health and Children,Quality_and_Fairness_A_Health_System_for_You_2001,planned_action:hospital_capacity,Management and organisation of waiting lists will be reformed Set of measures implemented Ongoing Health boards/service providers
2001,Strategy,Department of Health and Children,Quality_and_Fairness_A_Health_System_for_You_2001,planned_action:governance,Management and organisation of waiting lists will be reformed Set of measures implemented Ongoing Health boards/service providers
2001,Strategy,Department of Health and Children,Quality_and_Fairness_A_Health_System_for_You_2001,recommendation.hospital_capacity,One-day procedures will be used to the maximum Increase in proportion of one-day procedures Ongoing Health boards/service providers
2001,Strategy,Department of Health and Children,Quality_and_Fairness_A_Health_System_for_You_2001,recommendation.health_service_system,One-day procedures will be used to the maximum Increase in proportion of one-day procedures Ongoing Health boards/service providers
2001,Strategy,Department of Health and Children,Quality_and_Fairness_A_Health_System_for_You_2001,planned_action:governance,The organisation and management of services will be enhanced Set of short-term measures; Long-term measures June 2002; Ongoing Health boards/service providers
2001,Strategy,Department of Health and Children,Quality_and_Fairness_A_Health_System_for_You_2001,planned_action:health_service_system,The operation of out-patient departments will be improved Provision of individual appointment times; Referral protocols development Immediate; Ongoing Health boards/service providers
2001,Strategy,Department of Health and Children,Quality_and_Fairness_A_Health_System_for_You_2001,planned_action:hospital_capacity,The operation of out-patient departments will be improved Provision of individual appointment times; Referral protocols development Immediate; Ongoing Health boards/service providers
2001,Strategy,Department of Health and Children,Quality_and_Fairness_A_Health_System_for_You_2001,planned_action:governance,A substantial programme of improvements in accident and emergency departments will be introduced Additional A & E consultants appointed; Assessment unit to channel patients quickly; Advanced nurse practitioners (emergency) appointed; Improve facilities Ongoing Health Boards/service providers
2001,Strategy,Department of Health and Children,Quality_and_Fairness_A_Health_System_for_You_2001,planned_action:hospital_capacity,A substantial programme of improvements in accident and emergency departments will be introduced Additional A & E consultants appointed; Assessment unit to channel patients quickly; Advanced nurse practitioners (emergency) appointed; Improve facilities Ongoing Health Boards/service providers
2001,Strategy,Department of Health and Children,Quality_and_Fairness_A_Health_System_for_You_2001,planned_action:health_service_system,Diagnostic services for GPs and hospitals will be enhanced Strengthening of diagnostic facilities for GPs; Enhanced arrangements for GP access to hospital diagnostic facilities; Extended service hours for diagnostic departments Ongoing Health boards/service providers
2001,Strategy,Department of Health and Children,Quality_and_Fairness_A_Health_System_for_You_2001,planned_action:community_healthcare,Diagnostic services for GPs and hospitals will be enhanced Strengthening of diagnostic facilities for GPs; Enhanced arrangements for GP access to hospital diagnostic facilities; Extended service hours for diagnostic departments Ongoing Health boards/service providers
2001,Strategy,Department of Health and Children,Quality_and_Fairness_A_Health_System_for_You_2001,recommendation.hospital_capacity,The extra acute beds in public hospitals will be designated for public patients Formal designation order Immediately as beds are provided DoHC
2001,Strategy,Department of Health and Children,Quality_and_Fairness_A_Health_System_for_You_2001,planned_action.public_private,The extra acute beds in public hospitals will be designated for public patients Formal designation order Immediately as beds are provided DoHC
2001,Strategy,Department of Health and Children,Quality_and_Fairness_A_Health_System_for_You_2001,planned_action:staffing,Greater equity for public patients will be sought in a revised contract for hospital consultants Agreement on revised contract End 2002 DoHC
2001,Strategy,Department of Health and Children,Quality_and_Fairness_A_Health_System_for_You_2001,planned_action:governance,The rules governing access to public beds will be clarified Implementation of rules End 2001 DoHC/health boards/hospitals
2001,Strategy,Department of Health and Children,Quality_and_Fairness_A_Health_System_for_You_2001,planned_action.public_private,The rules governing access to public beds will be clarified Implementation of rules End 2001 DoHC/health boards/hospitals
2001,Strategy,Department of Health and Children,Quality_and_Fairness_A_Health_System_for_You_2001,planned_action:hospital_capacity,Action may be taken to suspend admission of private patients for elective treatment Monitoring of public/private mix Ongoing Health boards/service providers
2001,Strategy,Department of Health and Children,Quality_and_Fairness_A_Health_System_for_You_2001,planned_action.public_private,Action may be taken to suspend admission of private patients for elective treatment Monitoring of public/private mix Ongoing Health boards/service providers
2001,Strategy,Department of Health and Children,Quality_and_Fairness_A_Health_System_for_You_2001,planned_action.reform,Implementing the Strategy in the health system • A National Implementation Team will be established within the Department of Health and Children to drive the implementation of this Strategy within the health system at national level. It will co-ordinate and monitor actions within the Department, at Government and inter-departmental level and within the health boards and other agencies in the health services. This Unit will service the Cabinet Sub-Committee and the Inter-Departmental Group of senior officials.
2001,Strategy,Department of Health and Children,Quality_and_Fairness_A_Health_System_for_You_2001,planned_action:governance,Implementing the Strategy in the health system • A National Implementation Team will be established within the Department of Health and Children to drive the implementation of this Strategy within the health system at national level. It will co-ordinate and monitor actions within the Department, at Government and inter-departmental level and within the health boards and other agencies in the health services. This Unit will service the Cabinet Sub-Committee and the Inter-Departmental Group of senior officials.
2001,Strategy,Department of Health and Children,Quality_and_Fairness_A_Health_System_for_You_2001,planned_action:governance,• The National Implementation Team will prepare an annual report to the Cabinet Sub-Committee on the progress achieved in implementing each key aspect of the Strategy, and identifying the next steps to be taken in the coming years. This report will be submitted to the Joint Oireachtas Committee on Health and Children, and made widely available.
2001,Strategy,Department of Health and Children,Quality_and_Fairness_A_Health_System_for_You_2001,planned_action:governance,• A National Steering Group, to include a number of people outside the health sector who have practical experience of change management, will be established to work with the Department and health agencies. It will oversee and report to the Minister for Health and Children on the implementation of the Strategy. The National Steering Group will provide expertise and hands-on experience in achieving the momentum needed for the changes set out in the Strategy.
2001,Strategy,Department of Health and Children,Quality_and_Fairness_A_Health_System_for_You_2001,planned_action:health_service_system,• A National Steering Group, to include a number of people outside the health sector who have practical experience of change management, will be established to work with the Department and health agencies. It will oversee and report to the Minister for Health and Children on the implementation of the Strategy. The National Steering Group will provide expertise and hands-on experience in achieving the momentum needed for the changes set out in the Strategy.
2001,Strategy,Department of Health and Children,Quality_and_Fairness_A_Health_System_for_You_2001,planned_action:governance,The Department of Health and Children will, as part of the service planning process, require each health board to specify the formal evaluations to be undertaken by their respective monitoring and evaluation units. In the case of the eastern region, the service areas selected for review will be identified by the Eastern Regional Health Authority rather than the three Area Health Boards in the region.
2001,Strategy,Department of Health and Children,Quality_and_Fairness_A_Health_System_for_You_2001,planned_action:health_service_system,The Department of Health and Children will, as part of the service planning process, require each health board to specify the formal evaluations to be undertaken by their respective monitoring and evaluation units. In the case of the eastern region, the service areas selected for review will be identified by the Eastern Regional Health Authority rather than the three Area Health Boards in the region.
2001,Strategy,Department of Health and Children,Quality_and_Fairness_A_Health_System_for_You_2001,planned_action:community_healthcare,Planned actions in primary care: A new model of primary care will be developed The detailed description of the new model, Primary Care: A New Direction, is being published alongside this Strategy, and will be circulated to all key stakeholders. The model described sets out the principles for progress; it does not purport to address all of the detailed issues that will need to be worked through in the implementation phases. This will require consultation on an ongoing basis with all the relevant stakeholders. The model will be implemented on a phased basis over a two to ten-year timeframe. A National Primary Care Task Force will be established A small full-time task force will be established to take responsibility for driving the implementation of the changes and developments set out in the model. The task force will be inter-disciplinary and will report to a wider representative Steering Group which will be chaired by the Department of Health and Children and include representation from health boards, primary care professional groups, unions, and other relevant stakeholders.
2001,Strategy,Department of Health and Children,Quality_and_Fairness_A_Health_System_for_You_2001,planned_action:community_healthcare,Planned actions in primary care: A new model of primary care will be developed The detailed description of the new model, Primary Care: A New Direction, is being published alongside this Strategy, and will be circulated to all key stakeholders. The model described sets out the principles for progress; it does not purport to address all of the detailed issues that will need to be worked through in the implementation phases. This will require consultation on an ongoing basis with all the relevant stakeholders. The model will be implemented on a phased basis over a two to ten-year timeframe. A National Primary Care Task Force will be established A small full-time task force will be established to take responsibility for driving the implementation of the changes and developments set out in the model. The task force will be inter-disciplinary and will report to a wider representative Steering Group which will be chaired by the Department of Health and Children and include representation from health boards, primary care professional groups, unions, and other relevant stakeholders. Implementation projects will be put in place Locations for implementation projects will be chosen in each health board region for the development of primary care teams over the next two to four years (40-60 teams nationally). The concentration in the initial stages will be in locations where there is already evidence of successful partnership and co-operation between general practice and health board services. Evaluation of these implementation projects will inform the further phased development of teams in remaining parts of the country which will lead to the development of 400-600 teams to cover approximately two-thirds of the population by 2011. Investment will be made in extension of GP co-operatives and other specific national initiatives to complement the primary care model In the short-term, GP co-operatives will be established on a national basis so that effective out-of-hours services are available in all parts of the country. In addition, other specific developments on a national basis will include: • general increases in personnel needed for primary care teams and wider networks leading to improved out of-hours services • new physical infrastructure and equipment • improvements in information and communications technology
2001,Strategy,Department of Health and Children,Quality_and_Fairness_A_Health_System_for_You_2001,planned_action:governance,A National Primary Care Task Force will be established A small full-time task force will be established to take responsibility for driving the implementation of the changes and developments set out in the model. The task force will be inter-disciplinary and will report to a wider representative Steering Group which will be chaired by the Department of Health and Children and include representation from health boards, primary care professional groups, unions, and other relevant stakeholders.
2001,Strategy,Department of Health and Children,Quality_and_Fairness_A_Health_System_for_You_2001,planned_action:community_healthcare,Objective 2: Appropriate care is delivered in the appropriate setting Action # Description Deliverable Target Date Responsibility 53 Initiatives will be developed and implemented to ensure that care is delivered in the most appropriate setting Primary care development; Review of clinical pathway systems; Review of charges Ongoing; Ongoing; Completed 2002 Health boards/HeBE 54 Community and voluntary activity in maintaining health will be supported Programmes to support informal carers expanded and extended; Programmes to support voluntarism developed; First responder service developed; Funding arrangements for national bodies streamlined Commencing 2002 in all health boards; December 2002; Ongoing; From 2002 onwards Health boards; Steering Committee for the White Paper on Supporting Voluntary Activity; DoHC/health boards; HeBE
2001,Strategy,Department of Health and Children,Quality_and_Fairness_A_Health_System_for_You_2001,planned_action:capacity,A programme of investment to provide the necessary capacity in primary care, acute hospital and other services will begin Enhanced services across a range of programmes 2002-onwards DoHC
2001,Strategy,Department of Health and Children,Quality_and_Fairness_A_Health_System_for_You_2001,planned_action:hospital_capacity,A programme of investment to provide the necessary capacity in primary care, acute hospital and other services will begin Enhanced services across a range of programmes 2002-onwards DoHC
2001,Strategy,Department of Health and Children,Quality_and_Fairness_A_Health_System_for_You_2001,planned_action:community_healthcare,A programme of investment to provide the necessary capacity in primary care, acute hospital and other services will begin Enhanced services across a range of programmes 2002-onwards DoHC
2001,Strategy,Department of Health and Children,Quality_and_Fairness_A_Health_System_for_You_2001,planned_action:health_service_system,A programme of investment to provide the necessary capacity in primary care, acute hospital and other services will begin Enhanced services across a range of programmes 2002-onwards DoHC
2001,Strategy,Department of Health and Children,Quality_and_Fairness_A_Health_System_for_You_2001,planned_action:hospital_capacity,Measures to provide the highest standard of pre-hospital emergency care/ambulance services will be advanced Development of standards; Community training of GPs and other health care professionals; Training in clinical protocols; Resuscitation training for all staff in acute hospitals All ongoing DoHC/Pre-Hospital Emergency Care Council/service providers
2001,Strategy,Department of Health and Children,Quality_and_Fairness_A_Health_System_for_You_2001,planned_action:community_healthcare,Measures to provide the highest standard of pre-hospital emergency care/ambulance services will be advanced Development of standards; Community training of GPs and other health care professionals; Training in clinical protocols; Resuscitation training for all staff in acute hospitals All ongoing DoHC/Pre-Hospital Emergency Care Council/service providers
2001,Strategy,Department of Health and Children,Quality_and_Fairness_A_Health_System_for_You_2001,planned_action:governance,A review of paediatric services will be undertaken Working Party established; Working Party report submitted to Minister 2002; 2003 DoHC
2001,Strategy,Department of Health and Children,Quality_and_Fairness_A_Health_System_for_You_2001,planned_action:governance,Primary care 74 A new model of primary care will be developed Primary Care: A New Direction published Immediate Primary Care Task Force/health boards 75 A National Primary Care Task Force will be established National Primary Care Task Force established Jan-02 DoHC 76 Implementation projects will be put in place 40-60 primary care teams and networks in place; 400-600 primary care teams and networks in place End 2006; End 2011 Primary Care Task Force/health boards
